epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.404,1.12057,0.8079,1.06528,0.97222,0.90577,0.96049,0.61996,1.23836,0.67468,1.12209,0.00332579,0.00332579,0.00332579
2,277.408,1.20313,0.77222,1.10429,0.94453,0.90202,0.94849,0.62272,1.21348,0.69331,1.12899,0.0065932,0.0065932,0.0065932
3,362.825,1.24013,0.7951,1.13158,0.85186,0.79798,0.82183,0.50194,1.31695,0.98652,1.19469,0.00979461,0.00979461,0.00979461
4,447.96,1.24871,0.79417,1.14859,0.92487,0.883,0.92334,0.59088,1.27609,0.77173,1.19913,0.009703,0.009703,0.009703
5,533.305,1.24229,0.74671,1.15144,0.93118,0.90717,0.94186,0.61913,1.21433,0.71193,1.1735,0.009604,0.009604,0.009604
6,618.768,1.22859,0.71442,1.13906,0.94836,0.91467,0.94486,0.63272,1.21982,0.63659,1.14689,0.009505,0.009505,0.009505
7,704.827,1.20276,0.68543,1.13359,0.9329,0.91514,0.94477,0.63325,1.20854,0.6427,1.14356,0.009406,0.009406,0.009406
8,790.5,1.18872,0.6639,1.12779,0.9578,0.89384,0.94996,0.6263,1.17116,0.6455,1.1313,0.009307,0.009307,0.009307
9,875.888,1.18597,0.65407,1.12378,0.97522,0.9203,0.95955,0.65063,1.1709,0.62507,1.11497,0.009208,0.009208,0.009208
10,961.647,1.17016,0.63826,1.11038,0.96018,0.92874,0.96462,0.65675,1.16003,0.57504,1.11864,0.009109,0.009109,0.009109
11,1047.2,1.17284,0.63076,1.1158,0.96193,0.9358,0.96494,0.64743,1.20308,0.56757,1.15012,0.00901,0.00901,0.00901
12,1132.64,1.15609,0.61851,1.10816,0.97755,0.93886,0.97418,0.66798,1.16693,0.5436,1.1173,0.008911,0.008911,0.008911
13,1218.47,1.14535,0.6091,1.10537,0.98344,0.93202,0.97115,0.66789,1.16827,0.5599,1.11254,0.008812,0.008812,0.008812
14,1303.93,1.1422,0.58991,1.09808,0.96999,0.93296,0.96499,0.66193,1.1418,0.54429,1.09874,0.008713,0.008713,0.008713
15,1389,1.14741,0.58981,1.09873,0.96021,0.93202,0.96644,0.67831,1.13149,0.54464,1.09741,0.008614,0.008614,0.008614
16,1473.74,1.13341,0.5792,1.09315,0.97959,0.93343,0.97098,0.67955,1.1302,0.50648,1.09864,0.008515,0.008515,0.008515
17,1558.5,1.12479,0.57218,1.08814,0.97971,0.93483,0.97114,0.66662,1.14247,0.53518,1.10183,0.008416,0.008416,0.008416
18,1643.2,1.12381,0.57687,1.0895,0.98031,0.9337,0.97159,0.67314,1.12433,0.51934,1.0933,0.008317,0.008317,0.008317
19,1727.88,1.1162,0.5611,1.07795,0.97494,0.94834,0.97724,0.69038,1.10527,0.50002,1.09056,0.008218,0.008218,0.008218
20,1812.63,1.11675,0.56395,1.08512,0.97604,0.93999,0.97587,0.68488,1.10532,0.49193,1.08785,0.008119,0.008119,0.008119
21,1897.27,1.10994,0.54911,1.0763,0.9756,0.94702,0.97602,0.6849,1.10757,0.4925,1.08181,0.00802,0.00802,0.00802
22,1981.99,1.10812,0.54861,1.07732,0.97232,0.94468,0.9762,0.68969,1.10445,0.4902,1.08522,0.007921,0.007921,0.007921
23,2066.64,1.11518,0.55521,1.08384,0.97445,0.95077,0.98098,0.69597,1.08963,0.4764,1.07547,0.007822,0.007822,0.007822
24,2151.31,1.10578,0.54125,1.07938,0.97266,0.95085,0.97579,0.69221,1.09198,0.46867,1.0727,0.007723,0.007723,0.007723
25,2235.99,1.09597,0.53293,1.07531,0.98009,0.94614,0.97691,0.69574,1.09295,0.46309,1.06855,0.007624,0.007624,0.007624
26,2320.63,1.1014,0.54032,1.07657,0.9802,0.95165,0.97835,0.69061,1.10459,0.46922,1.0758,0.007525,0.007525,0.007525
27,2405.27,1.09015,0.5302,1.06773,0.97924,0.95094,0.97618,0.6932,1.09273,0.45856,1.06706,0.007426,0.007426,0.007426
28,2489.89,1.08287,0.5281,1.06433,0.98098,0.9431,0.977,0.69316,1.10966,0.46182,1.07657,0.007327,0.007327,0.007327
29,2574.58,1.08941,0.52531,1.06741,0.98393,0.94728,0.97951,0.69427,1.08433,0.46094,1.07209,0.007228,0.007228,0.007228
30,2659.28,1.0822,0.52496,1.05884,0.97541,0.94855,0.97989,0.69155,1.10392,0.46633,1.06789,0.007129,0.007129,0.007129
31,2743.96,1.08805,0.52461,1.06732,0.97575,0.95499,0.97772,0.70027,1.09443,0.45288,1.0675,0.00703,0.00703,0.00703
32,2828.69,1.08743,0.52188,1.06448,0.97692,0.95406,0.98104,0.70467,1.08611,0.44418,1.06583,0.006931,0.006931,0.006931
33,2913.36,1.07773,0.51333,1.05722,0.98257,0.94515,0.98108,0.69798,1.08489,0.43969,1.06333,0.006832,0.006832,0.006832
34,2998.06,1.07281,0.51043,1.0603,0.98078,0.94702,0.97749,0.69957,1.08064,0.44237,1.05066,0.006733,0.006733,0.006733
35,3082.68,1.06786,0.50597,1.05979,0.98486,0.94843,0.98249,0.70545,1.08885,0.43373,1.05687,0.006634,0.006634,0.006634
36,3167.43,1.06283,0.50414,1.05447,0.98028,0.94984,0.98144,0.70323,1.08316,0.43762,1.06406,0.006535,0.006535,0.006535
37,3252.13,1.0677,0.50314,1.04774,0.97501,0.95119,0.98164,0.70314,1.07723,0.43613,1.05683,0.006436,0.006436,0.006436
38,3336.87,1.05771,0.4983,1.05005,0.97973,0.95155,0.9813,0.70112,1.07931,0.43221,1.05636,0.006337,0.006337,0.006337
39,3421.51,1.05897,0.49682,1.04893,0.98733,0.95012,0.98219,0.70545,1.0805,0.42748,1.05718,0.006238,0.006238,0.006238
40,3506.24,1.056,0.49533,1.04524,0.98206,0.95734,0.98349,0.70765,1.07743,0.42348,1.05283,0.006139,0.006139,0.006139
41,3590.96,1.06154,0.49448,1.0509,0.98192,0.96109,0.9842,0.71144,1.07439,0.41731,1.05481,0.00604,0.00604,0.00604
42,3675.65,1.04955,0.48765,1.04139,0.9823,0.95499,0.9836,0.71406,1.06451,0.41028,1.04562,0.005941,0.005941,0.005941
43,3760.33,1.05205,0.48481,1.04533,0.97874,0.95781,0.98262,0.70832,1.07477,0.41267,1.04814,0.005842,0.005842,0.005842
44,3845.08,1.04638,0.48655,1.04029,0.97333,0.95828,0.98206,0.7036,1.07407,0.41826,1.04954,0.005743,0.005743,0.005743
45,3929.83,1.04641,0.48695,1.04385,0.97829,0.96203,0.98505,0.71426,1.06932,0.41574,1.04744,0.005644,0.005644,0.005644
46,4014.64,1.04477,0.48379,1.04211,0.97856,0.95781,0.98226,0.70852,1.07606,0.41396,1.04516,0.005545,0.005545,0.005545
47,4099.43,1.04404,0.47529,1.0426,0.9775,0.95708,0.98323,0.71231,1.06791,0.41303,1.04234,0.005446,0.005446,0.005446
48,4184.21,1.0367,0.481,1.04038,0.98034,0.95866,0.98456,0.71425,1.07028,0.4042,1.04048,0.005347,0.005347,0.005347
49,4268.95,1.03785,0.47545,1.03563,0.97479,0.96343,0.98443,0.71198,1.06712,0.40675,1.04479,0.005248,0.005248,0.005248
50,4353.7,1.03401,0.47057,1.0374,0.97488,0.96438,0.982,0.70828,1.06923,0.40055,1.04214,0.005149,0.005149,0.005149
51,4438.53,1.02962,0.4702,1.03144,0.98345,0.96015,0.98526,0.7144,1.06395,0.3953,1.03946,0.00505,0.00505,0.00505
52,4523.34,1.02815,0.46521,1.03141,0.98131,0.96249,0.98489,0.71318,1.06217,0.39403,1.04531,0.004951,0.004951,0.004951
53,4608.11,1.03304,0.46833,1.0358,0.97983,0.96249,0.98423,0.71363,1.06592,0.39696,1.04466,0.004852,0.004852,0.004852
54,4692.88,1.02104,0.46013,1.03246,0.98505,0.95781,0.9849,0.71922,1.05333,0.39431,1.03409,0.004753,0.004753,0.004753
55,4777.7,1.01081,0.45708,1.0289,0.97756,0.9599,0.98327,0.71504,1.05881,0.39195,1.04092,0.004654,0.004654,0.004654
56,4862.54,1.03251,0.46032,1.03194,0.97244,0.96343,0.98311,0.71999,1.05295,0.3969,1.03805,0.004555,0.004555,0.004555
57,4947.36,1.0063,0.45228,1.02015,0.97809,0.96289,0.98473,0.71946,1.0572,0.38845,1.03491,0.004456,0.004456,0.004456
58,5032.14,1.01497,0.45707,1.02517,0.97627,0.96484,0.98444,0.71971,1.0505,0.38821,1.03831,0.004357,0.004357,0.004357
59,5141.11,1.00764,0.45258,1.02597,0.98079,0.96484,0.98477,0.72009,1.05484,0.38513,1.03712,0.004258,0.004258,0.004258
60,5225.66,1.01989,0.45291,1.02789,0.9791,0.96648,0.98542,0.71691,1.06067,0.39016,1.03954,0.004159,0.004159,0.004159
